rule_id,scope,trigger_field,trigger_value,severity,check_item,required_evidence,source_url,system_action
R001,all,claim_list,"치료|예방|염증|당뇨|고혈압|변비 치료",RED,"질병 예방·치료 효능 표시광고 금지 리스크","광고 문안 삭제 또는 전문가 검토",https://www.foodsafetykorea.go.kr/portal/board/board.do?menu_grp=MENU_NEW01&menu_no=4838,"매칭 전 경고 표시"
R002,all,claim_list,"의약품|약처럼|복용|처방",RED,"의약품 오인 표시광고 리스크","문구 수정 및 표시광고 검토",https://www.foodsafetykorea.go.kr/portal/board/board.do?menu_grp=MENU_NEW01&menu_no=4838,"상세페이지 문구 보류"
R003,all,claim_list,"건강기능식품|기능성|면역|장건강|혈당|숙취해소",RED,"일반식품 기능성 표시 또는 건기식 오인 가능성","일반식품 기능성 표시 요건 또는 건기식 제조 여부 확인",https://www.mfds.go.kr/brd/m_1060/view.do?seq=14784,"규제 질문 생성"
R004,all,claim_list,"저당|무당|무가당|제로슈가",YELLOW,"영양표시 및 당류 강조표시 기준 확인","영양성분 분석값, 라벨 시안",https://www.mfds.go.kr/brd/m_1105/view.do?seq=33773,"영양표시 체크리스트 생성"
R005,all,claim_list,"고단백|프로틴|식이섬유",YELLOW,"영양성분 강조표시 기준 확인","영양성분 분석값",https://www.mfds.go.kr/brd/m_1105/view.do?seq=33773,"분석 지원 공장 우선"
R006,all,ingredient_list,"우유|대두|밀|메밀|땅콩|호두|잣|계란|난류|새우|게|오징어|고등어|조개|복숭아|토마토|닭고기|돼지고기|쇠고기|아황산",RED,"알레르기 유발물질 표시 확인","원재료명세서, 알레르기 관리 기준",https://www.foodsafetykorea.go.kr/portal/board/boardDetail.do?bbs_no=bbs039&menu_grp=MENU_NEW03&menu_no=4847&ntctxt_no=1093585,"알레르기 관리 공장 우선"
R007,all,ingredient_list,"신규원료|추출물|수입원료|식물성원료",YELLOW,"식품 원료 사용 가능 여부 확인","식품원료 DB 확인 기록",https://www.foodsafetykorea.go.kr/portal/safefoodlife/foodMeterial/foodMeterialDB.do?menu_grp=MENU_NEW04&menu_no=2968,"원료 확인 질문 생성"
R008,all,additive_list,"감미료|보존료|산도조절제|착색료|향료",YELLOW,"식품첨가물 사용 기준 확인","첨가물명, 사용량, 식품유형",https://various.foodsafetykorea.go.kr/fsd/,"첨가물 검토 질문 생성"
R009,health_snack,product_case,"건강간식",YELLOW,"식품공전상 과자류/빵류/기타가공품 등 유형 확인","제품 유형 판정 근거",https://various.foodsafetykorea.go.kr/fsd/,"제품 유형 후보 생성"
R010,health_snack,product_case,"건강간식",YELLOW,"HACCP 인증 공장 우선 확인","공장 HACCP 인증번호",https://www.data.go.kr/data/15065475/openapi.do,"HACCP 보유 공장 랭킹 가점"
R011,powder_stick,product_case,"분말스틱",RED,"일반식품과 건강기능식품 구분 확인","기능성 원료 여부, GMP 제조 여부",https://www.foodsafetykorea.go.kr/portal/safefoodlife/notification.do?menu_grp=MENU_NEW04&menu_no=3797&ntfc_dvs=NTFC09,"GMP 후보 분리"
R012,powder_stick,package_type,"스틱|파우치",YELLOW,"식품용 포장재 기준 확인","포장재 재질, 성적서",https://various.foodsafetykorea.go.kr/fsd/,"포장재 증빙 질문 생성"
R013,sauce,product_case,"소스",YELLOW,"소스류 식품유형, 살균·보존 조건 확인","공정도, 살균조건, 보존기준",https://various.foodsafetykorea.go.kr/fsd/,"소스 R&D 공장 우선"
R014,sauce,claim_list,"저염|나트륨 감소",YELLOW,"나트륨 강조표시 및 영양성분 확인","영양성분 분석값",https://www.mfds.go.kr/brd/m_1105/view.do?seq=33773,"분석 지원 공장 우선"
R015,all,package_material,"스틱필름|파우치|PET|유리병|캔|냉동팩",YELLOW,"식품용 기구·용기·포장 기준 확인","포장재 시험성적서, 식품용 적합 증빙",https://various.foodsafetykorea.go.kr/fsd/,"포장 증빙 필수 질문"
R016,all,factory_candidate,"공장",YELLOW,"HACCP/GMP 인증 및 행정처분 이력 조회","식품안전나라 업체 검색 결과",https://www.foodsafetykorea.go.kr/portal/specialinfo/searchInfoCompany.do,"공장 검증 상태 저장"
R017,all,product_type_guess,"커피",YELLOW,"디카페인 표시 사용 시 최신 표시기준 확인","라벨 문구, 카페인 기준 확인",https://www.mfds.go.kr/brd/m_207/view.do?seq=15167,"커피 제품만 경고"
R018,all,brand_collab,"주류협업제품",YELLOW,"주류협업제품 오인·혼동 방지 표시 확인","제품 디자인, 표시 문구",https://www.mfds.go.kr/brd/m_207/view.do?seq=15167,"브랜드 협업 경고"
R019,all,product_case,"수입원료",YELLOW,"수입식품·원료 증빙 확인","수입신고, 원산지, 원료 규격서",https://www.foodsafetykorea.go.kr/portal/safefoodlife/foodMeterial/foodMeterialDB.do?menu_grp=MENU_NEW04&menu_no=2968,"원료사 확인 질문"
R020,all,launch_ready,"출시전",RED,"라벨 시안, 시험성적서, 인증서, 공장 서류 최종 확인","최종 라벨, 시험성적서, 인증서, 공장 인허가",https://www.foodsafetykorea.go.kr/portal/specialinfo/searchInfoCompany.do,"출시 전 승인 게이트"
